naf,libelle_naf,sous_filiere
30.30Z,Construction aéronautique et spatiale,aéronautique et spatial
30.11Z,Construction de navires et de structures flottantes,naval
26.51A,Fabrication d'équipements d'aide à la navigation,électronique de défense
26.30Z,Fabrication d'équipements de communication,électronique de défense
25.62B,Mécanique industrielle,mécanique de précision
28.41Z,Fabrication de machines de formage des métaux,mécanique de précision
25.40Z,Fabrication d'armes et de munitions,munitions et armement terrestre
30.40Z,Construction de véhicules militaires de combat,munitions et armement terrestre
33.16Z,Réparation et maintenance d'aéronefs et d'engins spatiaux,maintenance aéronautique
